shi,使
shi,市
shi,石
shi,十
shi,事
shi,师
shi,式
shi,史
shi,世
shi,室
shi,士
shi,食
shi,始
shi,试
shi,视
shi,识
shi,失
shi,示
shi,尸
shou,首
shou,受
shou,手
shou,守
shou,收
shu,书
shu,数
shu,树
shu,叔
shu,束
shu,暑
shuai,帅
shuai,甩
shuang,双
shuang,爽
shui,水
shui,谁
shui,税
shui,睡
shun,顺
shuo,说
si,四
si,死
si,司
si,思
si,私
si,丝
song,松
song,送
su,苏
su,俗
su,速
su,诉
suan,酸
suan,算
suan,蒜
sui,岁
sui,随
sui,虽
sun,孙
suo,所
suo,锁
ta,他
ta,她
ta,它
tai,台
tai,太
tai,胎
tai,态
tan,谈
tan,叹
tan,贪
tang,堂
tang,汤
tang,糖
tang,躺
tao,套
tao,逃
tao,桃
tao,讨
teng,疼
ti,体
ti,题
ti,提
ti,替
tian,天
tian,田
tian,填
tian,甜
tiao,条
tiao,调
tiao,跳
tiao,挑
tie,铁
tie,贴
ting,听
ting,停
tong,童
tong,痛
tong,同
tong,通
tou,头
tu,土
tu,兔
tu,吐
tuan,团
tui,退
tui,推
tui,腿
tun,吞
tuo,脱
wa,瓦
wa,娃
wai,外
wai,歪
wan,万
wan,晚
wan,完
wan,玩
wan,碗
wan,丸
wan,弯
wang,王
wang,网
wang,往
wang,望
wang,亡
wang,忘
wei,为
wei,位
wei,未
wei,卫
wei,味
wei,尾
wei,伟
wei,伪
wei,危
wen,文
wen,问
wen,温
wen,闻
wen,吻
wen,蚊
wo,我
wu,五
wu,无
wu,武
wu,物
wu,务
wu,舞
wu,午
xi,西
xi,戏
xi,希
xi,喜
xi,细
xi,洗
xi,习
xi,息
xi,吸
xia,下
xia,夏
xia,虾
xia,吓
xian,现
xian,线
xian,先
xian,仙
xian,贤
xian,显
xian,咸
xian,闲
xiang,向
xiang,乡
xiang,想
xiang,相
xiang,像
xiang,香
xiang,象
xiang,祥
xiang,巷
xiang,响
xiao,小
xiao,孝
xiao,校
xiao,笑
xiao,消
xie,写
xie,谢
xie,血
xie,鞋
xie,协
xie,些
xie,邪
xin,心
xin,新
xin,信
xing,性
xing,行
xing,形
xing,星
xing,兴
xing,姓
xing,幸
xing,醒
xing,杏
xiong,雄
xiong,熊
xiong,兄
xiong,胸
xiong,凶
xiu,秀
xiu,休
xiu,修
xiu,袖
xu,需
xu,须
xu,许
xu,虚
xu,续
xuan,选
xuan,宣
xue,学
xue,雪
xun,寻
xun,训
ya,亚
ya,牙
ya,鸭
ya,呀
ya,丫
yan,言
yan,演
yan,盐
yan,眼
yan,燕
yan,严
yan,烟
yang,阳
yang,杨
yang,养
yang,洋
yang,扬
yang,样
yang,央
